,trackName,artistName,trackID,trackURI,duration (min),popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1566,Pray for Me,KILLY,4mrGwwIJxLNHuJq7k6VsA1,spotify:track:4mrGwwIJxLNHuJq7k6VsA1,2.44,35,0.714,0.552,0,-7.931,0.291,0.367,0.0,0.117,0.158,144.013
1567,No Romance,16yrold,1EuVCg1G7fVjuhKurU7m2b,spotify:track:1EuVCg1G7fVjuhKurU7m2b,2.29,53,0.802,0.424,1,-11.366,0.0627,0.603,7.73e-06,0.108,0.476,140.069
1568,Oh My Dis Side (feat. Quavo),Travis Scott,2rMFawCg4BW65jzbwztXAV,spotify:track:2rMFawCg4BW65jzbwztXAV,5.85,64,0.459,0.623,1,-4.45,0.0489,0.352,0.0,0.131,0.205,126.018
1569,Antidote,Travis Scott,1wHZx0LgzFHyeIZkUydNXq,spotify:track:1wHZx0LgzFHyeIZkUydNXq,4.38,74,0.713,0.526,1,-5.046,0.032,0.00767,0.000148,0.124,0.131,131.05
1570,STARGAZING,Travis Scott,7wBJfHzpfI3032CSD7CE2m,spotify:track:7wBJfHzpfI3032CSD7CE2m,4.51,76,0.487,0.789,8,-3.69,0.044,0.00947,4.05e-06,0.189,0.0564,150.007
1571,NO BYSTANDERS,Travis Scott,6OaVWaGfhXn70ZJfdVcabn,spotify:track:6OaVWaGfhXn70ZJfdVcabn,3.64,74,0.731,0.811,1,-3.225,0.0712,0.0204,0.0,0.411,0.426,147.045
1572,Paper Trail$,Joey Bada$$,23bOfmnZiN42pB1frXNyak,spotify:track:23bOfmnZiN42pB1frXNyak,3.25,63,0.548,0.829,1,-4.103,0.285,0.339,0.0,0.537,0.452,93.62
1573,Summer Knights,Joey Bada$$,2NDXdxZjbm5EbbEEDSKXQV,spotify:track:2NDXdxZjbm5EbbEEDSKXQV,1.93,52,0.485,0.596,5,-7.734,0.11,0.513,1.56e-05,0.239,0.458,92.513
1574,Daily Routine,Joey Bada$$,7fMG4HNSKzBFKthjmeW8LU,spotify:track:7fMG4HNSKzBFKthjmeW8LU,2.97,51,0.665,0.531,1,-8.577,0.298,0.261,1.97e-06,0.111,0.539,81.343
1575,"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)",A$AP Ferg,7xVLFuuYdAvcTfcP3IG3dS,spotify:track:7xVLFuuYdAvcTfcP3IG3dS,4.73,70,0.841,0.733,1,-5.077,0.142,0.0246,0.0,0.174,0.284,130.009
