,Unnamed: 0,trackName,artistName,trackID,trackURI,duration (min),popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Cluster,Metric 1,Metric 2,Metric 3,Metric 4,Metric 5,Metric 6,Metric 7,Metric 8
1143,1144,talk is overrated,Jeremy Zucker,7cflqPPi3zWfLFRRBTWeh6,spotify:track:7cflqPPi3zWfLFRRBTWeh6,3.16,66,0.776,0.353,4,-8.317,0.0687,0.435,0.0,0.302,0.658,138.035,6,0.7583324402459029,1.084642591742341,-0.7773863010814841,0.761881482415519,-0.8761165470297766,0.39260129897943036,0.8276425119126677,0.5980698662013929
1144,1145,Red Lights,Matt Mems,5V5elhejPqSZQclw8cibqq,spotify:track:5V5elhejPqSZQclw8cibqq,3.43,32,0.624,0.888,3,-4.419,0.0638,0.31,0.0,0.162,0.463,128.001,7,-1.424015456312798,-0.5847321512116624,0.01471295261665197,-0.14672962710191711,-0.45483392434068914,-0.5097871149201487,0.10198712924254724,-0.3368651012134043
1145,1146,42,dylAn,4auJ5r8RTJthHJo14Dnx2V,spotify:track:4auJ5r8RTJthHJo14Dnx2V,2.05,0,0.711,0.803,11,-7.429,0.128,0.00441,0.0,0.0817,0.607,99.997,5,-1.141659114520854,0.7428230076468109,0.47490226315371936,-0.7010233704540773,1.9222229320087627,0.32459232770858265,-0.6796720187426006,-0.7169233557667658
1146,1147,Will He (Medasin Remix),Joji,4bOr88BuLILM22g8FKQWrG,spotify:track:4bOr88BuLILM22g8FKQWrG,3.7,52,0.686,0.539,1,-9.408,0.092,0.545,0.000564,0.14,0.36,123.929,4,1.1761587281063044,0.11375151540615844,-0.5101554733037634,-0.0881223491506425,-1.0688336759218322,-0.6781953274990291,0.4349195643687046,-0.13724308479830943
1147,1148,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen) - R3hab Remix",Rudimental,7AisOSvRie44gSXOTjcxUl,spotify:track:7AisOSvRie44gSXOTjcxUl,2.12,36,0.697,0.738,0,-4.673,0.049,0.225,9.91e-06,0.141,0.686,92.005,2,-1.3003947725811935,0.31492058517432464,-0.7305921790228426,-0.42218224129237725,-0.1508575101298887,-1.5946607364816998,0.9647982294159838,-0.12092405165725095
1148,1149,She Knows (feat. Just Chase),Grandtheft,3NvgrytANWH53cZ1yqpZcP,spotify:track:3NvgrytANWH53cZ1yqpZcP,3.93,0,0.668,0.763,6,-5.585,0.084,0.0277,7.95e-05,0.0678,0.398,111.993,5,-1.0749026771608485,-0.28285778346251367,0.5348800488867512,-1.065050355889129,0.8156415775316694,-0.4851824175183432,-0.49599188189437776,-0.9533164545780215
1149,1150,Again,Kehlani,5Qr7StTFbXhgHt9JlqJx0I,spotify:track:5Qr7StTFbXhgHt9JlqJx0I,3.67,50,0.662,0.326,4,-5.529,0.0293,0.837,0.0,0.0985,0.634,95.926,4,1.398293603988634,0.6014285531434049,-1.7606970126788493,0.27142892685824827,0.025771035746356627,-0.710009649155014,0.5297697831533001,-0.0729478686603537
1150,1151,Iron & Steel,Quinn XCII,3q0NwIecnNK8DIE6m77PvI,spotify:track:3q0NwIecnNK8DIE6m77PvI,3.38,48,0.784,0.485,5,-5.116,0.0952,0.469,0.0,0.2,0.581,140.191,6,-0.029054116114367996,0.8520948020079521,-0.5246759721211672,0.12578692125006338,-0.5933697652010073,0.3648486411167877,0.3010145871524452,0.023150732443524332
1151,1152,Boss Up,Tyga,0FXnVTZ7aUfUAi3a6B1myb,spotify:track:0FXnVTZ7aUfUAi3a6B1myb,3.82,31,0.707,0.44,8,-8.478,0.217,0.172,0.000392,0.284,0.219,172.008,6,0.6590094524964522,0.23986863769155034,1.3905621387909597,0.307410941571037,-0.6667589892280575,1.251641012589464,-0.9117875690763192,-0.10635731517607336
1152,1153,Alakazam (feat. JME & Denzel Curry),AJ Tracey,4Ab0KYznTstaZv4asvIjUM,spotify:track:4Ab0KYznTstaZv4asvIjUM,3.63,0,0.812,0.574,10,-8.405,0.392,0.381,0.0,0.129,0.38,144.03,6,0.5495982531999508,1.874284849044818,1.6804068717541467,-0.6198491613845177,0.4116340017873667,0.8329939106572994,-1.568841968705421,-0.09908244939364419
1153,1154,Quarterback (Secure The Bag!),AJ Tracey,1eUtJDWBFWobniOx9JwX96,spotify:track:1eUtJDWBFWobniOx9JwX96,3.45,0,0.888,0.697,7,-6.684,0.227,0.366,0.0,0.177,0.735,139.999,6,-0.7630326044513532,2.0577066770283183,0.7648169448079989,-0.8307523607596979,0.24968245375397308,0.40205195572537583,-0.48728845776901997,0.4766310419068747
1154,1155,Tour Team (feat. 67),AJ Tracey,4yTNrjyWmpoCQtVlEaUXzO,spotify:track:4yTNrjyWmpoCQtVlEaUXzO,3.76,0,0.924,0.622,9,-7.984,0.374,0.455,0.0,0.118,0.829,137.062,6,-0.18441973360322902,3.2353900937035904,0.9466412864291996,-0.9175467452402217,0.44699190167753255,0.7700589166484388,-0.9173634131833218,0.6242746853088033
1155,1156,Did You See,J Hus,6DXEZzM4wBa3EOl0NCNSvz,spotify:track:6DXEZzM4wBa3EOl0NCNSvz,3.02,68,0.579,0.579,11,-6.787,0.394,0.387,0.0,0.17,0.842,104.757,6,-0.23455000763152453,2.082824857683721,-0.10433545956775052,1.408551536183448,0.554123483125543,0.9004693993848985,-0.4997660656909461,0.2866237121289032
1156,1157,Heaven,Julia Michaels,7bf9fiS2x8BzB9XWZU14wv,spotify:track:7bf9fiS2x8BzB9XWZU14wv,3.2,0,0.55,0.376,7,-9.153,0.0384,0.866,0.0,0.0829,0.286,199.813,4,2.380246704038036,-0.7987073561016239,0.43436257278168955,-0.7305267923502706,-1.3438676365674398,1.4624030097764324,-1.5907753092645536,0.04959334929008967
1157,1158,Wait a sec (Feat. hatts) (Prod. Hansen),Andup,3XRFavJTNHPX5K50okiKYZ,spotify:track:3XRFavJTNHPX5K50okiKYZ,3.25,0,0.868,0.595,1,-2.927,0.0945,0.577,0.0,0.102,0.852,131.985,6,-0.8826738053925864,1.5653931139757922,-0.40140081175681264,-1.4213272180799679,-0.5629501874832157,-0.8418347413668721,0.2852978643502898,0.49809248269044365
1158,1159,On a Wave,Kyle Corum,5M5tDTP6ZSPVCle5sb1CNy,spotify:track:5M5tDTP6ZSPVCle5sb1CNy,3.76,21,0.631,0.534,6,-12.577,0.429,0.0621,0.0,0.323,0.527,127.949,6,0.6883745561379997,1.6517936726808042,2.0509474537229124,0.5683963415680077,-0.15635918768376686,-0.0031415795354701992,-0.8672896847796656,0.9663491261225312
1159,1160,Six Paths,Dave,4ZATL7LLPc0ihEslUdVeXL,spotify:track:4ZATL7LLPc0ihEslUdVeXL,3.72,49,0.688,0.749,5,-5.499,0.192,0.0552,0.000305,0.111,0.419,139.95,7,-1.19055141067177,0.22859966379254387,0.3536283581334678,-0.2668977089666329,-0.6406471881113164,0.33272048660385106,-0.13194061260370069,-0.7659214781179069
